Date : 2026-03-02 15:58:32
Directory : /Users/remidesbordes/Documents/Teams/TeamsClient_/src
Total : 72 files,  2271 codes, 357 comments, 645 blanks, all 3273 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         72 |      2,271 |        357 |        645 |      3,273 |
+----------+------------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/LocalVideoSource.h           | C++      |         24 |          2 |          6 |         32 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/PConnectionController.cpp    | C++      |         84 |          2 |         15 |        101 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/PConnectionController.h      | C++      |         29 |          2 |          7 |         38 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/PConnectionObserver.cpp      | C++      |         38 |          2 |          8 |         48 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/PConnectionObserver.h        | C++      |         23 |          2 |          7 |         32 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/RemoteVideoSource.h          | C++      |         17 |          0 |          4 |         21 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/SignalingClient.cpp          | C++      |         74 |          0 |         20 |         94 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/SignalingClient.h            | C++      |         26 |          0 |         13 |         39 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/Sources.cpp                  | C++      |         16 |          1 |          6 |         23 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/Sources.h                    | C++      |         20 |          3 |          9 |         32 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/WebRTCObservers.h            | C++      |         32 |          3 |          5 |         40 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/WebRTCService.cpp            | C++      |         53 |          1 |         11 |         65 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/WebRTCService.h              | C++      |         32 |          2 |         11 |         45 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/SessionService.cpp               | C++      |         19 |          0 |          5 |         24 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/SessionService.h                 | C++      |         19 |          6 |          5 |         30 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/UserService.cpp                  | C++      |         25 |          1 |          5 |         31 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/UserService.h                    | C++      |         19 |          0 |          6 |         25 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Utils/FrameConverter.cpp                  | C++      |         58 |         42 |         22 |        122 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Utils/FrameConverter.h                    | C++      |         11 |          3 |          3 |         17 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Utils/Interfaces/ITokenManager.h          | C++      |         14 |          0 |          3 |         17 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Utils/TokenManager.cpp                    | C++      |         61 |          0 |         15 |         76 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Utils/TokenManager.h                      | C++      |         18 |          7 |          8 |         33 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/ViewModels/AuthViewModel.cpp              | C++      |         42 |          1 |          9 |         52 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/ViewModels/AuthViewModel.h                | C++      |         27 |          8 |          7 |         42 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/ViewModels/ViewModelsTools.h              | C++      |         14 |          7 |          5 |         26 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/ViewModels/WebRTCViewModel.cpp            | C++      |         15 |          0 |          4 |         19 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/ViewModels/WebRTCViewModel.h              | C++      |         24 |          4 |          9 |         37 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/AuthView.cpp                   | C++      |         37 |          0 |          8 |         45 |
